basic_type,basic_title_url,basic_cover_url,basic_title,basic_creator,special_organization1,basic_cycle,basic_date_time,basic_description,basic_keyword
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=35860,https://img.cdn.bjadks.com/images/CRFHWXG0131151025067.jpg,品牌营销传播应该怎么做,杨永春,营销管理,3,2018/2/2,品牌营销想要实现不错的传播效果，传播创意、平台与方式的选择都是至关重要。本课程将剖析品牌创意设计素材需要具备的特性，介绍品牌传播的网络矩阵，通过品牌传播案例解析，帮助企业做好品牌定位和传播部署，设计出独具创意的品牌营销方式，从而实现品牌口碑传播。,品牌创意设计;品牌传播网络矩阵;推广与宣传的区别与联系
学术报告,http://www.wsbgt.com/Play?catalogId=49&courseId=35991,https://img.cdn.bjadks.com/images/CRFJQRG0202105613001.jpg,2018第五届中国新型煤化工精细化发展论坛,揭玉斌,科技前沿,29,2018/5/24,本届新型煤化工精细化发展论坛为期两天，以“创新转型升级、融合绿色发展”为主题，主要就新型煤化工“十三五”新形势下，产业政策、发展战略及创新方向，示范工程项目建设及运行经验，核心工艺技术创新及关键装备研发应用进展，节能及环保技术突破等相关议题展开深入探讨，分析了当前煤化工精细化发展形势，总结了发展规律，展示了最新发展成果，促进了煤化工产业的精细化、高端化、绿色化可持续发展。,2018第五届中国新型煤化工精细化发展论坛开幕式;现代煤化工现状与展望（上）;现代煤化工现状与展望（下）;煤化工发展路径分析（上）;煤化工发展路径分析（下）;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=69&courseId=34260,https://img.cdn.bjadks.com/images/CPSCSTG1129150553011.jpg,阳光心态 幸福人生,樊富珉,沟通与交流,5,2017/1/6,福的奥秘是什么？现代人为什么经常不快乐？怎样走进一个洋溢积极的精神、充满乐观的希望和散发着春天活力的心灵状态？积极心理学――为我们揭示了与传统心理学完全不一样的心灵世界。相信你在了解了这一理论后，一定能超越自身的不快乐、狭隘、愤怒、嫉妒、恐惧、焦虑等消极心态，以更积极的、建设性的情绪来面对生活的挑战。,阳光心态 幸福人生幸福感与积极心理学;阳光心态 幸福人生积极心理学的历史与现状;阳光心态 幸福人生多关注正向事物你才会快乐;阳光心态 幸福人生生活满意度量表解读;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=67&courseId=35717,https://img.cdn.bjadks.com/images/CQSASTG0726161448086.jpg,关于海瑞廉洁反贪的再认识,南炳文,名人经传,4,2017/11/30,海瑞，似一轮朗月，从明代走来，带着一股改革的气魄，在他身上，闪耀着永远无法被遮掩的清辉。本期讲座主要围绕廉以处己、强调洁人、反对以民脂民膏行贿、关注贪黩之预防、显著的成效和曲折的仕途、传统文化的优秀成分与海瑞洁己洁人等主题展开演讲。,关于海瑞廉洁反贪的再认识（一）;关于海瑞廉洁反贪的再认识（二）;关于海瑞廉洁反贪的再认识（三）;关于海瑞廉洁反贪的再认识（四）
学术报告,http://www.wsbgt.com/Play?catalogId=67&courseId=35696,https://img.cdn.bjadks.com/images/CQSASTG0726161811049.jpg,慈禧太后的文化学养,王开玺,名人经传,3,2017/11/30,慈禧太后的权力欲望极强，善于玩弄政治权术，为人阴狠，治中国长达47年之久，可谓家喻户晓、妇孺皆知。讲座者将通过二三十幅无可辩驳的图片与历史文本资料，为您拨开种种历史的迷团，形象生动地向您展示一个真实的慈禧。,慈禧太后的文化学养（上）;慈禧太后的文化学养（中）;慈禧太后的文化学养（下）
学术报告,http://www.wsbgt.com/Play?catalogId=67&courseId=35620,https://img.cdn.bjadks.com/images/CQSASTG0802103247196.jpg,李清照有过婕妤之叹吗？,陈祖美,名人经传,4,2017/11/30,主讲人陈祖美根据多年对《漱玉词》的考证，提出应将李清照的生平分为早、中、晚三期。他认为，写于中、前期的不少作品表达出了作者的悲苦情结。本次讲座，陈祖美将通过对李清照写于中前期的《小重山》、《临江仙》等作品“以意逆志”的解读，探究其中所隐含的无与伦比的“婕妤”和“庄姜”之苦。,李清照有过婕妤之叹吗？（一）;李清照有过婕妤之叹吗？（二）;李清照有过婕妤之叹吗？（三）;李清照有过婕妤之叹吗？（四）
学术报告,http://www.wsbgt.com/Play?catalogId=67&courseId=35752,https://img.cdn.bjadks.com/images/CQSASTG0726161343049.jpg,陈独秀与现代思想文化,胡明,名人经传,3,2017/11/30,本场讲座主要演讲以下几方面：一、中共党史、现代革命史上的陈独秀与现代思想文化史上的陈独秀；二、问题人物的“问题”所在；三、陈独秀的年龄圈；四、陈独秀的政治文化年月；五、陈独秀的晚年言行与文化评价；六、陈独秀与现代思想文化；七、陈独秀的诗意与诗才。,陈独秀与现代思想文化（上）;陈独秀与现代思想文化（中）;陈独秀与现代思想文化（下）
学术报告,http://www.wsbgt.com/Play?catalogId=67&courseId=35621,https://img.cdn.bjadks.com/images/CQSASTG0802103247193.jpg,中国文学史上的“三曹”,刘跃进,名人经传,3,2017/11/30,以“三曹”为核心的建安文学在中国文学史上占有崇高的地位，以其慷慨悲歌、风骨峻拔著称。作为诗坛领袖，“三曹”的风格各不相同。曹操的诗是以一个英雄的气魄取胜，曹丕则是以诗人的细腻感受而见长，曹植却是以才子的丰富想象而称雄。曹操诗风中的“霸气”，以及曹植赋洛神，都为中国诗赋的历史生色。,中国文学史上的“三曹”（上）;中国文学史上的“三曹”（中）;中国文学史上的“三曹”（下）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35677,https://img.cdn.bjadks.com/images/CQSASTG0728145050047.jpg,中国传统族谱的体例及绍兴谱的特色,常建华,历史长廊,4,2017/11/30,近十年，随着中国学术研究的正常化，族谱已不再被简单地看作封建族权的产物而仅仅供批判之用了。学术禁区的打开，为研究和利用族谱创造了条件，复兴中国族谱学的日子已经到来。本次讲座主要围绕着氏姓谱系之学与文献学定位、世系记录的形式、谱学与史学、方志学的关系、宗族制度何以进入族谱、中国族谱的文化传承与人文精神等主题展开演讲。,中国传统族谱的体例及绍兴谱的特色（一）;中国传统族谱的体例及绍兴谱的特色（二）;中国传统族谱的体例及绍兴谱的特色（三）;中国传统族谱的体例及绍兴谱的特色（四）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35671,https://img.cdn.bjadks.com/images/CQSASTG0802103247022.jpg,中华文化之特点,舒乙,历史长廊,3,2017/11/30,一般地讲，文化是有共性的，而且在现代化和全球化的背景下，文化的趋同是非常明显的，世界上的人渐渐穿一样的衣服，住一样的房子，用一样的交通工具，甚至吃一样的东西，在这种情况下，强调一下文化的个性似乎是一件更有意义的事。本期课程主讲人谈论了中华文化的特点：1.中华文化是延续不断的；2.中华文化是多民族缔造的；3.中华文明是处处以哲理做指导的；4.中华文化的审美天性。,中华文化之特点（上）;中华文化之特点（中）;中华文化之特点（下）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35672,https://img.cdn.bjadks.com/images/CQSASTG0802103247018.jpg,关于中华民族的文化之根,杨义,历史长廊,4,2017/11/30,中华民族多元一体的复合形态有两种重要的功能：一个功能是他非常古老，但是他又能激发出、焕发出新的生命；第二个功能，它既是多元的，有多元的文化起源，但是又能融合在一起。本次讲座主要谈四个问题：第一，中华民族文化根本的深厚性；第二，文化哲学的包容性；第三，文化血脉的充沛性；第四，文化景观的丰美性。,关于中华民族的文化之根（一）;关于中华民族的文化之根（二）;关于中华民族的文化之根（三）;关于中华民族的文化之根（四）
