person_id,label_name,province,city,lon_lat
231,高尔位,,,
232,李锺伦,福建省,泉州市,"118.675868,24.873888"
233,王埏,,,
234,祁??,山西省,晋城市,"112.851767,35.49087"
235,谭弘,重庆市奉节县,,"109.463893,31.018609"
236,陈奉兹,江西省,九江市,"115.990399,29.727458"
237,管干贞,江苏省,常州市,"119.974454,31.810076"
238,孙廷铨,山东省,青州市,"118.479622,36.68444"
239,(费莫)文煜,,,
240,(张佳)九十,,,
241,九成,,,
242,二格,,,
243,(纳喇)三和,,,
244,三格,,,
245,三泰,,,
246,(伊尔根觉罗)三宝,,,
247,上官阕,山西省,临汾市,"111.51888,36.088067"
248,于可托,山东省,蓬莱市,"120.758816,37.810573"
249,于时跃,广东省,肇庆市,"112.465091,23.047192"
250,于敏中,江苏省,镇江市,"119.425836,32.187849"
251,于准,山西省,汾阳市,"111.769894,37.261564"
252,(章佳)尹泰,,,
253,尹嘉铨,河北省,保定市,"115.464809,38.873799"
254,尹德禧,,,
255,金光祖,,,
256,尹济源,山东省,济南市,"117.120496,36.650928"
257,(崔)五十三,,,
258,五十六,,,
259,五福,,,
260,(钮祜禄)仁和,,,
261,(舒舒觉罗)介山,,,
262,(完颜)魁伦,,,
263,(佟佳)介福,,,
264,元展成,天津市,,"117.200983,39.084158"
265,(爱新觉罗)允祁,,,
266,刘坤一,湖南省,邵阳市,"111.467811,27.238804"
267,(爱新觉罗)允碟,,,
268,(爱新觉罗)允祜,,,
269,(爱新觉罗)允禄,,,
270,(爱新觉罗)允,,,
271,(爱新觉罗)允堵,,,
272,(爱新觉罗)允禧,,,
273,(爱新觉罗)允礼,,,
274,(爱新觉罗)允对,,,
275,(爱新觉罗)允哆,,,
276,六十七,,,
277,卞三元,,,
278,邵友濂,浙江省,绍兴市,"120.579757,30.030188"
279,卞永誉,,,
280,邵灿,浙江省,绍兴市,"120.579757,30.030188"
281,卞宝第,江苏省,扬州市,"119.412966,32.39421"
282,孔毓,山东省,济宁市,"116.783834,35.553144"
283,(嵩佳)巴克坦布,,,
284,金士松,江苏省,苏州市,"120.585297,31.298974"
285,金之俊,江苏省,苏州市,"120.585297,31.298974"
286,(觉罗)巴延三,,,
287,(洪吉拉忒)巴忠,,,
288,(觉罗)巴哈布,,,
289,金世德,,,
290,(觉罗)巴哈纳,,,
291,巴哈布,,,
292,(李)巴哈布,,,
293,金光悌,安徽省,安庆市,"117.054734,30.52403"
294,巴彦图,,,
295,(觉罗)巴彦学,,,
296,(金)巴泰,,,
297,金`,浙江省,杭州市,"120.15507,30.274085"
298,(汪)巴宁阿,,,
299,巴尔泰,,,
300,(瓜尔佳)巴锡,,,
301,金应琦,安徽省,歙县,"118.414501,29.86168"
302,金声桓,,,
303,金简,,,
304,巴赛,,,
305,巴龄阿,,,
306,刘长佑,湖南省,邵阳市,"111.467811,27.238804"
307,金镇,北京市,,"116.407413,39.904214"
308,刘源灏,北京市,,"116.407413,39.904214"
309,扎拉芬,,,
310,刘蓉,湖南省,长沙市,"112.938814,28.228209"
311,(博尔济吉特)文孚,,,
312,刘韵珂,山东省,济宁市,"116.783834,35.553144"
313,乐善,,,
314,(爱新觉罗)文彩,,,
315,金砺,,,
316,(呼尔格)文图,,,
317,长庚,,,
318,潘世恩,江苏省,苏州市,"120.585297,31.298974"
319,长清,,,
320,(费莫)文庆,,,
321,长祥,,,
322,(费莫)文蔚,,,
323,(萨尔图克)长龄,,,
324,(阿哈觉罗)文谦,,,
325,潘锡恩,安徽省,宣城市,"118.758808,30.940813"
326,郑敦谨,湖南省,长沙市,"112.938814,28.228209"
327,(董)文丰,,,
328,多善,,,
329,(郭佳)穆彰阿,,,
330,方显,湖南省,岳阳市,"113.128962,29.357195"
331,牛天畀,山西省,太原市,"112.550617,37.870675"
332,(赫舍里)牛钮,,,
333,王士任,山东省,蓬莱市,"120.758816,37.810573"
334,(伊拉哩)阿山,,,
335,阿山,,,
336,(章佳)阿必达,,,
337,王士俊,,,
338,阿克东阿,,,
339,王引之,江苏省,扬州市,"119.412966,32.39421"
340,王文韶,浙江省,杭州市,"120.15507,30.274085"
341,王兆梦,江苏省,徐州市,"117.284067,34.204749"
342,骆秉章,广东省,广州市,"113.264435,23.129162"
343,(章佳)阿克敦,,,
344,(刘)阿克当阿,,,
345,鲍源深,安徽省,安庆市,"117.054734,30.52403"
346,(钮祜禄)阿里衮,,,
347,戴三锡,北京市,,"116.407413,39.904214"
348,王汝璧,重庆市,,"106.551456,29.563124"
349,王邦宁,山西省,太原市,"112.550617,37.870675"
350,(苏完尼瓜尔佳)阿明阿,,,
351,王来用,,,
352,(富察)阿哈尼堪,,,
353,王宗诚,安徽省,池州市,"117.491568,30.6648"
354,(萨克达)阿思哈,,,
355,戴均元,江西省,大余县,"114.362089,25.401225"
356,(瓜尔佳)阿席熙,,,
357,王延年,甘肃省,兰州市,"103.834377,36.061255"
358,(博尔济吉特)阿勒清阿,,,
359,戴联奎,江苏省,南京市,"118.796877,32.060255"
360,(觉罗)阿扬阿,,,
361,(拜都)锺昌,,,
362,(索佳)额勒布,,,
363,颜检,广东省,惠州市,"114.416196,23.111847"
364,魏元R,河北省,卢龙县,"118.893115,39.891932"
365,罗绕典,湖南省,长沙市,"112.938814,28.228209"
366,(觉罗)宝兴,,,
367,(栋鄂)铁保,,,
368,(完颜)麟庆,,,
369,杨永斌,云南省,昆明市,"102.83286,24.880182"
370,颜希深,广东省,惠州市,"114.416196,23.111847"
371,谭锺麟,湖南省,长沙市,"112.938814,28.228209"
372,杨名时,江苏省,常州市,"119.974454,31.810076"
373,王林,,,
374,(伊尔根觉罗)阿肃,,,
375,(莫尔哲勒)阿隆阿,,,
376,王秉韬,,,
377,(钮祜禄)阿尔松阿,,,
378,王d,,,
379,(伊尔根觉罗)阿尔泰,,,
380,王柄,,,
381,(瓜尔佳)阿精阿,,,
382,王炳,,,
383,王荃可,山东省,青州市,"118.479622,36.68444"
384,王郡,陕西省,西安市,"108.940175,34.341568"
385,(富察)阿兰泰,,,
386,阿兰泰,,,
387,王国光,,,
388,侯袭爵,,,
389,王国安,,,
390,(佟佳)保成,,,
391,王国栋,,,
392,(费莫)保昌,,,
393,王国栋,,,
394,叶酉,安徽省,安庆市,"117.054734,30.52403"
395,王得禄,台中市,,"120.646867,24.161858"
396,保明,,,
397,裘曰修,江西省,南城县,"116.63704,27.569678"
398,(图伯特)保泰,,,
399,(富察)保祝,,,
400,王绍兰,浙江省,绍兴市,"120.579757,30.030188"
401,(图伯特)保宁,,,
402,(富察)福康安,,,
403,保德,,,
404,王植,河北省,保定市,"115.464809,38.873799"
405,(承吉)保兴,,,
406,王无党,河北省,张家口市,"115.099231,40.608454"
407,南一魁,陕西省,延安市,"109.489635,36.585424"
408,南天祥,陕西省,西安市,"108.940175,34.341568"
409,哈尚德,河北省,河间市,"116.099501,38.446553"
410,王登联,,,
411,王进泰,,,
412,哈国兴,河北省,河间市,"116.099501,38.446553"
413,王进宝,,,
414,王集,,,
415,(把岳忒)哈当阿,,,
416,(瓜尔佳)哈达哈,,,
417,王汇,,,
418,(巴雅拉)哈鲁堪,,,
419,王瑞,,,
420,(富察)哈丰阿,,,
421,王万邦,山西省,大同市,"113.300126,40.076815"
422,哈攀龙,河北省,河间市,"116.099501,38.446553"
423,王顼龄,上海市,松江区,"121.227747,31.032243"
424,(爱新觉罗)奕纪,,,
425,王鼎,陕西省,大荔县,"109.941658,34.797184"
426,(爱新觉罗)奕阅,,,
427,(爱新觉罗)奕经,,,
428,王望,山西省,临汾市,"111.51888,36.088067"
429,(爱新觉罗)奕颢,,,
430,(富察)奎林,,,
431,王际华,浙江省,杭州市,"120.15507,30.274085"
432,王应凤,贵州省,镇远县,"108.42964,27.049032"
433,赵大鲸,浙江省,杭州市,"120.15507,30.274085"
434,王检,山东省,蓬莱市,"120.758816,37.810573"
435,(索绰络)奎照,,,
436,王燮,北京市,,"116.407413,39.904214"
437,王懿修,安徽省,池州市,"117.491568,30.6648"
438,刘荫枢,陕西省,西安市,"108.940175,34.341568"
439,姜希辙,浙江省,绍兴市,"120.579757,30.030188"
440,王懿德,,,
441,王懿德,河南省,开封市,"114.307582,34.797149"
442,姜晟,江苏省,苏州市,"120.585297,31.298974"
443,姚三辰,浙江省,杭州市,"120.15507,30.274085"
444,(爱新觉罗)世铎,,,
445,蒋溥,江苏省,苏州市,"120.585297,31.298974"
446,仙鹤林,山东省,济宁市,"116.783834,35.553144"
447,姚文田,浙江省,湖州市,"120.086876,30.894285"
448,姚立德,浙江省,杭州市,"120.15507,30.274085"
449,包括,浙江省,杭州市,"120.15507,30.274085"
450,姚成烈,浙江省,杭州市,"120.15507,30.274085"
451,史致光,浙江省,绍兴市,"120.579757,30.030188"
452,蔡毓荣,,,
453,姚延着,浙江省,湖州市,"120.086876,30.894285"
454,郑江,浙江省,杭州市,"120.15507,30.274085"
455,姚祖同,浙江省,杭州市,"120.15507,30.274085"
456,史致俨,江苏省,扬州市,"119.412966,32.39421"
457,姚启圣,浙江省,绍兴市,"120.579757,30.030188"
458,(奇普褚特)台布,,,
459,(包国罗特)台斐音,,,
460,(索绰罗)台隆阿,,,
461,四德,,,
462,卢坤,北京市,,"116.407413,39.904214"
463,(富察)尼满,,,
464,卢焯,,,
465,钱陈群,浙江省,嘉兴市,"120.755487,30.746129"
466,钱沣,云南省,昆明市,"102.83286,24.880182"
467,魏定国,江西省,南城县,"116.63704,27.569678"
468,姚爆,安庆市,"117.054734,30.52403",biogref
469,焦毓瑞,山东省,济南市,"117.120496,36.650928"
470,左宗棠,湖南省,长沙市,"112.938814,28.228209"
471,姚缔虞,湖北省,黄冈市,"114.872316,30.453906"
472,(钮祜禄)布彦达赉,,,
473,陆邦烈,浙江省,嘉兴市,"120.755487,30.746129"
474,(拜都)布兰泰,,,
475,平恕,浙江省,绍兴市,"120.579757,30.030188"
476,(赫舍里)帅颜保,,,
477,(爱新觉罗)弘晌,,,
478,(爱新觉罗)弘昼,,,
479,(刘佳)本智,,,
480,程r,江西省,玉山县,"118.245164,28.681966"
481,永安,,,
482,(伊尔根觉罗)永昌,,,
483,(舒穆鲁)舒赫德,,,
484,(马佳)恒文,,,
485,(爱新觉罗)永明额,,,
486,(费莫)永保,,,
487,恒安,,,
488,(爱新觉罗)恒秀,,,
489,(萨达拉)恒春,,,
490,恒毓,,,
491,(觉罗)永泰,,,
492,(锡林觉罗)鄂尔泰,,,
493,冯光裕,山西省,太原市,"112.550617,37.870675"
494,冯溥,山东省,青州市,"118.479622,36.68444"
495,(爱新觉罗)恒瑞,,,
496,(郭洛罗)永祚,,,
497,陈宁,,,
498,(董鄂)永常,,,
499,郝硕,,,
500,黄叔琳,北京市,,"116.407413,39.904214"
501,黄登贤,北京市,,"116.407413,39.904214"
502,施世纶,,,
503,永清,,,
504,(爱新觉罗)永琨,,,
505,(拜都)永贵,,,
506,甯完我,,,
507,(爱新觉罗)永玮,,,
508,施维翰,上海市,松江区,"121.227747,31.032243"
509,杨文干,北京市,,"116.407413,39.904214"
510,(爱新觉罗)永w,,,
511,柯永盛,,,
512,查克丹,,,
513,永寿,,,
514,杨方兴,,,
515,(伊尔根觉罗)永宁,,,
516,杨汝谷,安徽省,安庆市,"117.054734,30.52403"
517,永福,,,
518,(纳喇)查郎阿,,,
519,(爱新觉罗)永,,,
520,(完颜)查弼纳,,,
521,杨宗仁,,,
522,(觉罗)永德,,,
523,(额哲忒)喙蟋,,,biogref
524,(佟佳)永庆,,,
525,(巴鲁特)柏,,,
526,(爱新觉罗)永璇,,,
527,杨捷,,,
528,(爱新觉罗)永锡,,,
529,杨景素,江苏省,扬州市,"119.412966,32.39421"
530,玉山,,,
531,杨鼐,浙江省,杭州市,"120.15507,30.274085"
532,洪承畴,福建省,泉州市,"118.675868,24.873888"
533,(爱新觉罗)玉明,,,
534,洪蕃锵,福建省,漳州市,"117.647454,24.51285"
535,(栋鄂)玉保,,,
536,炳文,,,
537,董天弼,北京市,,"116.407413,39.904214"
538,(瓜尔佳)玉德,,,
539,纪龙,宁夏回族自治区,银川市,"106.230925,38.487319"
540,董教增,江苏省,南京市,"118.796877,32.060255"
541,(爱新觉罗)玉庆,,,
542,胡天格,广西壮族自治区,贵港市,"109.598927,23.111546"
543,董诰,浙江省,杭州市,"120.15507,30.274085"
544,胡文伯,山东省,蓬莱市,"120.758816,37.810573"
545,(哈达纳喇)玉麟,,,
546,胡世安,四川省,井研县,"104.069756,29.651209"
547,玉麟,,,
